parliament,constituency,constituency_old_name,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P168,Kota Marudu,NA,Maximus J. Ongkili  ,BN,PBS,13033,27.7,Paul Porodong  ,NA,PCS,2501,5.3,1774,Maximus J. Ongkili  ,BN,PBS,47037,35231,74.9,1325,74.9,168,Sabah,Opposition,Yes
P169,Kota Belud,NA,Isnaraissah Munirah Majilis @ Fakharuddy ,PH,WARISAN,23429,40.4,Salleh Said Keruak ,BN,UMNO,19167,33.1,4262,Abd Rahman Dahlan  ,BN,UMNO,57935,47565,82.1,1467,82.1,169,Sabah,Government,No
P169,Kota Belud,NA,Isnaraissah Munirah Majilis @ Fakharuddy ,PH,WARISAN,23429,40.4,Miasin Mion  ,USA,PHRS,2092,3.6,4262,Abd Rahman Dahlan  ,BN,UMNO,57935,47565,82.1,1467,82.1,169,Sabah,Government,No
P169,Kota Belud,NA,Isnaraissah Munirah Majilis @ Fakharuddy ,PH,WARISAN,23429,40.4,Ag. Laiman Ikin  ,GS,PAS,1410,2.4,4262,Abd Rahman Dahlan  ,BN,UMNO,57935,47565,82.1,1467,82.1,169,Sabah,Government,No
P170,Tuaran,NA,Wilfred Madius Tangau  ,BN,UPKO,22494,41.3,Chrisnadia Sinam  ,PH,PKR,14870,27.3,7624,Wilfred Madius Tangau  ,BN,UPKO,54410,44834,82.4,1191,82.4,170,Sabah,Opposition,Yes
P170,Tuaran,NA,Wilfred Madius Tangau  ,BN,UPKO,22494,41.3,Kalakau Untol  ,NA,PCS,2611,4.8,7624,Wilfred Madius Tangau  ,BN,UPKO,54410,44834,82.4,1191,82.4,170,Sabah,Opposition,Yes
P170,Tuaran,NA,Wilfred Madius Tangau  ,BN,UPKO,22494,41.3,Syra Peter Gom  ,USA,PHRS,2311,4.2,7624,Wilfred Madius Tangau  ,BN,UPKO,54410,44834,82.4,1191,82.4,170,Sabah,Opposition,Yes
P170,Tuaran,NA,Wilfred Madius Tangau  ,BN,UPKO,22494,41.3,Mohd Aminuddin Aling  ,GS,PAS,1357,2.5,7624,Wilfred Madius Tangau  ,BN,UPKO,54410,44834,82.4,1191,82.4,170,Sabah,Opposition,Yes
P171,Sepanggar,NA,Mohd Azis Jamman  ,PH,WARISAN,28420,45.5,Abd Rahman Dahlan  ,BN,UMNO,15436,24.7,12984,Jumat Idris  ,BN,UMNO,62435,49012,78.5,1227,78.5,171,Sabah,Government,No
P171,Sepanggar,NA,Mohd Azis Jamman  ,PH,WARISAN,28420,45.5,Jeffrey Kumin  ,USA,SAPP,2958,4.7,12984,Jumat Idris  ,BN,UMNO,62435,49012,78.5,1227,78.5,171,Sabah,Government,No
P171,Sepanggar,NA,Mohd Azis Jamman  ,PH,WARISAN,28420,45.5,Robert Sopining  ,NA,PCS,971,1.6,12984,Jumat Idris  ,BN,UMNO,62435,49012,78.5,1227,78.5,171,Sabah,Government,No
P172,Kota Kinabalu,NA,Chan Foong Hin  ,PH,DAP,31632,56.2,Joseph Lee Han Kyun  ,BN,PBS,7546,13.4,24086,Jimmy Wong Sze Phin  ,PH,DAP,56247,42973,76.4,663,76.4,172,Sabah,Government,No
P172,Kota Kinabalu,NA,Chan Foong Hin  ,PH,DAP,31632,56.2,Yong Teck Lee  ,USA,SAPP,3132,5.6,24086,Jimmy Wong Sze Phin  ,PH,DAP,56247,42973,76.4,663,76.4,172,Sabah,Government,No
P173,Putatan,NA,Awang Husaini Sahari  ,PH,PKR,14106,34.1,Makin @ Marcus Mojigoh  ,BN,UPKO,11767,28.5,2339,Makin @ Marcus Mojigoh  ,BN,UPKO,41329,31865,77.1,1075,77.1,173,Sabah,Government,Yes
P173,Putatan,NA,Awang Husaini Sahari  ,PH,PKR,14106,34.1,Zulzaim Hilmee Abidin  ,GS,PAS,2434,5.9,2339,Makin @ Marcus Mojigoh  ,BN,UPKO,41329,31865,77.1,1075,77.1,173,Sabah,Government,Yes
P173,Putatan,NA,Awang Husaini Sahari  ,PH,PKR,14106,34.1,Edmund Jivol Doudilim  ,USA,PHRS,1755,4.2,2339,Makin @ Marcus Mojigoh  ,BN,UPKO,41329,31865,77.1,1075,77.1,173,Sabah,Government,Yes
P173,Putatan,NA,Awang Husaini Sahari  ,PH,PKR,14106,34.1,Mil Kusin Abdillah Sulai  ,NA,ANAK NEGERI,728,1.8,2339,Makin @ Marcus Mojigoh  ,BN,UPKO,41329,31865,77.1,1075,77.1,173,Sabah,Government,Yes
P174,Penampang,NA,Darell Leiking  ,PH,WARISAN,32470,61.1,Ceasar Mandela Malakun  ,BN,UPKO,8997,16.9,23473,Darell Leiking  ,NA,WARISAN,53113,43659,82.2,551,82.2,174,Sabah,Government,Yes
P174,Penampang,NA,Darell Leiking  ,PH,WARISAN,32470,61.1,Cleftus Stephen Spine  ,USA,STAR,1196,2.3,23473,Darell Leiking  ,NA,WARISAN,53113,43659,82.2,551,82.2,174,Sabah,Government,Yes
P174,Penampang,NA,Darell Leiking  ,PH,WARISAN,32470,61.1,Edwin Bosi  ,NA,ANAK NEGERI,445,0.8,23473,Darell Leiking  ,NA,WARISAN,53113,43659,82.2,551,82.2,174,Sabah,Government,Yes
P175,Papar,NA,Ahmad Hassan  ,PH,WARISAN,17394,39.9,Rosnah Abdul Rashid Shirlin  ,BN,UMNO,17069,39.1,325,Rosnah Abdul Rashid Shirlin  ,BN,UMNO,43603,36540,83.8,704,83.8,175,Sabah,Government,Yes
P175,Papar,NA,Ahmad Hassan  ,PH,WARISAN,17394,39.9,Jamil William Core  ,USA,STAR,892,2,325,Rosnah Abdul Rashid Shirlin  ,BN,UMNO,43603,36540,83.8,704,83.8,175,Sabah,Government,Yes
P175,Papar,NA,Ahmad Hassan  ,PH,WARISAN,17394,39.9,Elbert Sikuil  ,NA,PCS,481,1.1,325,Rosnah Abdul Rashid Shirlin  ,BN,UMNO,43603,36540,83.8,704,83.8,175,Sabah,Government,Yes
P176,Kimanis,NA,Anifah Aman  ,BN,UMNO,11942,40.3,Karim Bujang  ,PH,WARISAN,11786,39.8,156,Anifah Aman  ,BN,UMNO,29604,25519,86.2,491,86.2,176,Sabah,Opposition,Yes
P176,Kimanis,NA,Anifah Aman  ,BN,UMNO,11942,40.3,Jaafar Ismail  ,USA,PHRS,1300,4.4,156,Anifah Aman  ,BN,UMNO,29604,25519,86.2,491,86.2,176,Sabah,Opposition,Yes
P177,Beaufort,NA,Azizah Mohd Dun  ,BN,UMNO,11354,34,Lajim Ukin  ,USA,PHRS,8023,24.1,3331,Azizah Mohd Dun  ,BN,UMNO,33357,28154,84.4,942,84.4,177,Sabah,Opposition,Yes
P177,Beaufort,NA,Azizah Mohd Dun  ,BN,UMNO,11354,34,Johan @ Christopher O. T. Ghani  ,PH,PKR,7835,23.5,3331,Azizah Mohd Dun  ,BN,UMNO,33357,28154,84.4,942,84.4,177,Sabah,Opposition,Yes
P178,Sipitang,NA,Yamani Hafez Musa  ,BN,UMNO,12038,37.7,Noor Hayaty Mustapha  ,PH,WARISAN,11186,35.1,852,Sapawi Amat Wasali @ Ahmad  ,BN,UMNO,31893,25483,79.9,712,79.9,178,Sabah,Opposition,No
P178,Sipitang,NA,Yamani Hafez Musa  ,BN,UMNO,12038,37.7,Dayang Aezzy Liman  ,USA,PHRS,1547,4.9,852,Sapawi Amat Wasali @ Ahmad  ,BN,UMNO,31893,25483,79.9,712,79.9,178,Sabah,Opposition,No
P179,Ranau,NA,Jonathan Yasin  ,PH,PKR,14880,34.1,Ewon Ebin  ,BN,UPKO,13804,31.6,1076,Ewon Ebin  ,BN,UPKO,43690,33904,77.6,962,77.6,179,Sabah,Government,Yes
P179,Ranau,NA,Jonathan Yasin  ,PH,PKR,14880,34.1,Soudi Andang  ,USA,STAR,3148,7.2,1076,Ewon Ebin  ,BN,UPKO,43690,33904,77.6,962,77.6,179,Sabah,Government,Yes
P179,Ranau,NA,Jonathan Yasin  ,PH,PKR,14880,34.1,Andau Yasun  ,NA,PCS,1110,2.5,1076,Ewon Ebin  ,BN,UPKO,43690,33904,77.6,962,77.6,179,Sabah,Government,Yes
P180,Keningau,NA,Jeffrey G. Kitingan  ,USA,STAR,13286,25.9,Jake Nointin  ,PH,WARISAN,13241,25.9,45,Joseph Pairin Kitingan  ,BN,PBS,51205,40913,79.9,764,79.9,180,Sabah,Opposition,No
P180,Keningau,NA,Jeffrey G. Kitingan  ,USA,STAR,13286,25.9,Daniel Kinsik  ,BN,PBS,12742,24.9,45,Joseph Pairin Kitingan  ,BN,PBS,51205,40913,79.9,764,79.9,180,Sabah,Opposition,No
P180,Keningau,NA,Jeffrey G. Kitingan  ,USA,STAR,13286,25.9,Jius Awang  ,NA,PCS,433,0.8,45,Joseph Pairin Kitingan  ,BN,PBS,51205,40913,79.9,764,79.9,180,Sabah,Opposition,No
P180,Keningau,NA,Jeffrey G. Kitingan  ,USA,STAR,13286,25.9,Maimin Rijan  ,NA,IND,248,0.5,45,Joseph Pairin Kitingan  ,BN,PBS,51205,40913,79.9,764,79.9,180,Sabah,Opposition,No
P180,Keningau,NA,Jeffrey G. Kitingan  ,USA,STAR,13286,25.9,Justin Guka  ,NA,IND,199,0.4,45,Joseph Pairin Kitingan  ,BN,PBS,51205,40913,79.9,764,79.9,180,Sabah,Opposition,No
P181,Tenom,NA,Noorita Sual  ,PH,DAP,11363,38.9,Rubin Balang  ,BN,UMNO,10230,35.1,1133,Raime Unggi  ,BN,UPKO,29185,23027,78.9,789,78.9,181,Sabah,Government,No
P181,Tenom,NA,Noorita Sual  ,PH,DAP,11363,38.9,Yuslinah Laikim  ,USA,PHRS,645,2.2,1133,Raime Unggi  ,BN,UPKO,29185,23027,78.9,789,78.9,181,Sabah,Government,No
P182,Pensiangan,NA,Arthur Joseph Kurup  ,BN,PBRS,11783,37.5,Raymond Ahuar  ,PH,PKR,9469,30.2,2314,Joseph Kurup  ,BN,PBRS,31389,24955,79.5,587,79.5,182,Sabah,Opposition,No
P182,Pensiangan,NA,Arthur Joseph Kurup  ,BN,PBRS,11783,37.5,Richard Joe Jimmy  ,USA,STAR,2839,9,2314,Joseph Kurup  ,BN,PBRS,31389,24955,79.5,587,79.5,182,Sabah,Opposition,No
P182,Pensiangan,NA,Arthur Joseph Kurup  ,BN,PBRS,11783,37.5,Maidin Osman  ,NA,PCS,212,0.7,2314,Joseph Kurup  ,BN,PBRS,31389,24955,79.5,587,79.5,182,Sabah,Opposition,No
P182,Pensiangan,NA,Arthur Joseph Kurup  ,BN,PBRS,11783,37.5,Engah Sintan  ,NA,IND,65,0.2,2314,Joseph Kurup  ,BN,PBRS,31389,24955,79.5,587,79.5,182,Sabah,Opposition,No
P183,Beluran,NA,Ronald Kiandee  ,BN,UMNO,13007,45.6,Japar Zairun  ,PH,WARISAN,5892,20.7,7115,Ronald Kiandee  ,BN,UMNO,28503,21606,75.8,908,75.8,183,Sabah,Opposition,Yes
P183,Beluran,NA,Ronald Kiandee  ,BN,UMNO,13007,45.6,Sipin Kadandi  ,USA,PHRS,996,3.5,7115,Ronald Kiandee  ,BN,UMNO,28503,21606,75.8,908,75.8,183,Sabah,Opposition,Yes
P183,Beluran,NA,Ronald Kiandee  ,BN,UMNO,13007,45.6,Toidy Luit  ,NA,PCS,284,1,7115,Ronald Kiandee  ,BN,UMNO,28503,21606,75.8,908,75.8,183,Sabah,Opposition,Yes
P183,Beluran,NA,Ronald Kiandee  ,BN,UMNO,13007,45.6,Lem Matin  ,USA,PPRS,273,1,7115,Ronald Kiandee  ,BN,UMNO,28503,21606,75.8,908,75.8,183,Sabah,Opposition,Yes
P183,Beluran,NA,Ronald Kiandee  ,BN,UMNO,13007,45.6,Salimah Oyong  ,NA,IND,246,0.9,7115,Ronald Kiandee  ,BN,UMNO,28503,21606,75.8,908,75.8,183,Sabah,Opposition,Yes
P184,Libaran,NA,Zakaria Mohd Edris @ Tubau  ,BN,UMNO,17799,37.1,Irwanshah Mustapa  ,PH,WARISAN,17121,35.7,678,Juslie Ajirol  ,BN,UMNO,47938,37248,77.7,1105,77.7,184,Sabah,Opposition,No
P184,Libaran,NA,Zakaria Mohd Edris @ Tubau  ,BN,UMNO,17799,37.1,Alfian Mansyur  ,USA,PHRS,1223,2.6,678,Juslie Ajirol  ,BN,UMNO,47938,37248,77.7,1105,77.7,184,Sabah,Opposition,No
P185,Batu Sapi,NA,Liew Vui Keong  ,PH,WARISAN,12976,39.9,Linda Tsen Thau Lin  ,BN,PBS,8357,25.7,4619,Linda Tsen Thau Lin  ,BN,PBS,32559,24029,73.8,768,73.8,185,Sabah,Government,Yes
P185,Batu Sapi,NA,Liew Vui Keong  ,PH,WARISAN,12976,39.9,Hamzah @ Hamza A. Abdullah  ,PH,PAN,980,3,4619,Linda Tsen Thau Lin  ,BN,PBS,32559,24029,73.8,768,73.8,185,Sabah,Government,Yes
P185,Batu Sapi,NA,Liew Vui Keong  ,PH,WARISAN,12976,39.9,Norsah Bongsu  ,GS,PAS,948,2.9,4619,Linda Tsen Thau Lin  ,BN,PBS,32559,24029,73.8,768,73.8,185,Sabah,Government,Yes
P186,Sandakan,NA,Stephen Wong Tien Fatt  ,PH,DAP,19094,48,Lim Ming Hoo  ,BN,LDP,8996,22.6,10098,Stephen Wong Tien Fatt  ,PH,DAP,39761,28668,72.1,578,72.1,186,Sabah,Government,Yes
P187,Kinabatangan,NA,Bung Moktar Radin  ,BN,UMNO,14465,50.4,Ghazali Abdul Ghani  ,PH,WARISAN,4987,17.4,9478,Bung Moktar Radin  ,BN,UMNO,28718,22257,77.5,739,77.5,187,Sabah,Opposition,Yes
P187,Kinabatangan,NA,Bung Moktar Radin  ,BN,UMNO,14465,50.4,Mustapa Datu Tambuyong  ,USA,PHRS,2066,7.2,9478,Bung Moktar Radin  ,BN,UMNO,28718,22257,77.5,739,77.5,187,Sabah,Opposition,Yes
P188,Silam,NA,Mohamaddin Ketapi  ,PH,WARISAN,23352,38.3,Datu Nasrun Datu Mansor  ,BN,UMNO,16951,27.8,6401,Datu Nasrun Datu Mansor  ,BN,UMNO,60927,44294,72.7,1254,72.7,188,Sabah,Government,Yes
P188,Silam,NA,Mohamaddin Ketapi  ,PH,WARISAN,23352,38.3,Ramli Pataruddin  ,GS,PAS,1431,2.3,6401,Datu Nasrun Datu Mansor  ,BN,UMNO,60927,44294,72.7,1254,72.7,188,Sabah,Government,Yes
P188,Silam,NA,Mohamaddin Ketapi  ,PH,WARISAN,23352,38.3,Siti Shazianti Ajak  ,USA,PHRS,1306,2.1,6401,Datu Nasrun Datu Mansor  ,BN,UMNO,60927,44294,72.7,1254,72.7,188,Sabah,Government,Yes
P189,Semporna,NA,Mohd Shafie Apdal  ,PH,WARISAN,26809,55.5,Ramlee Marhaban  ,BN,UMNO,6135,12.7,20674,Mohd Shafie Apdal  ,NA,WARISAN,48274,34613,71.7,1187,71.7,189,Sabah,Government,Yes
P189,Semporna,NA,Mohd Shafie Apdal  ,PH,WARISAN,26809,55.5,Abdul Nasir Ab Raup  ,GS,PAS,384,0.8,20674,Mohd Shafie Apdal  ,NA,WARISAN,48274,34613,71.7,1187,71.7,189,Sabah,Government,Yes
P189,Semporna,NA,Mohd Shafie Apdal  ,PH,WARISAN,26809,55.5,Asmara Asmad  ,USA,PHRS,98,0.2,20674,Mohd Shafie Apdal  ,NA,WARISAN,48274,34613,71.7,1187,71.7,189,Sabah,Government,Yes
