parliament,constituency,constituency_old_name,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P197,Kota Samarahan,NA,Rubiah Wang ,BN,PBB,25070,54.1,Sopian Julaihi  ,PH,PAN,8078,17.4,16992,Rubiah Wang  ,BN,PBB,46325,36551,78.9,684,78.9,197,Sarawak,Opposition,No
P197,Kota Samarahan,NA,Rubiah Wang ,BN,PBB,25070,54.1,Zulkipli Ramzi  ,GS,PAS,2719,5.9,16992,Rubiah Wang  ,BN,PBB,46325,36551,78.9,684,78.9,197,Sarawak,Opposition,No
P198,Puncak Borneo,Mambong,Willie Mongin ,PH,PKR,18865,40.9,Genot Sibek @ Jeannoth Sinel  ,BN,PBB,14860,32.2,4005,James Dawos Mamit  ,BN,PBB,46178,35142,76.1,622,76.1,198,Sarawak,Government,No
P198,Puncak Borneo,Mambong,Willie Mongin ,PH,PKR,18865,40.9,Buln Ribos  ,USA,STAR,795,1.7,4005,James Dawos Mamit  ,BN,PBB,46178,35142,76.1,622,76.1,198,Sarawak,Government,No
P199,Serian,NA,Richard Riot Jaem  ,BN,SUPP,17545,46.6,Edward Andrew Luwak  ,PH,DAP,7640,20.3,9905,Richard Riot Jaem  ,BN,SUPP,37624,27880,74.1,461,74.1,199,Sarawak,Opposition,Yes
P199,Serian,NA,Richard Riot Jaem  ,BN,SUPP,17545,46.6,Senior William Rade  ,NA,IND,2234,5.9,9905,Richard Riot Jaem  ,BN,SUPP,37624,27880,74.1,461,74.1,199,Sarawak,Opposition,Yes
P200,Batang Sadong,NA,Nancy Shukri  ,BN,PBB,14208,61.2,Othman Mustapha  ,PH,PAN,1880,8.1,12328,Nancy Shukri  ,BN,PBB,23224,17349,74.7,283,74.7,200,Sarawak,Opposition,Yes
P200,Batang Sadong,NA,Nancy Shukri  ,BN,PBB,14208,61.2,Asan Singkro  ,GS,PAS,978,4.2,12328,Nancy Shukri  ,BN,PBB,23224,17349,74.7,283,74.7,200,Sarawak,Opposition,Yes
P201,Batang Lupar,NA,Rohani Abdul Karim  ,BN,PBB,14204,47.6,Wan Abdillah Wan Ahmad  ,GS,PAS,3927,13.2,10277,Rohani Abdul Karim  ,BN,PBB,29816,20603,69.1,452,69.1,201,Sarawak,Opposition,Yes
P201,Batang Lupar,NA,Rohani Abdul Karim  ,BN,PBB,14204,47.6,Narudin Mentali  ,PH,PAN,2020,6.8,10277,Rohani Abdul Karim  ,BN,PBB,29816,20603,69.1,452,69.1,201,Sarawak,Opposition,Yes
P202,Sri Aman,NA,Masir Kujat  ,BN,PRS,14141,42.8,Norina Umoi Utot  ,PH,PKR,8321,25.2,5820,Masir Kujat  ,BN,PRS,33021,23379,70.8,379,70.8,202,Sarawak,Opposition,Yes
P202,Sri Aman,NA,Masir Kujat  ,BN,PRS,14141,42.8,Cobbold John Lusoi  ,NA,PBDS BARU,538,1.6,5820,Masir Kujat  ,BN,PRS,33021,23379,70.8,379,70.8,202,Sarawak,Opposition,Yes
