parliament,constituency,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,malay_voters_pct,chinese_voters_pct,indian_voters_pct,other_voters_pct,muslim_bumiputera_voters_pct,nonmuslim_bumiputera_voters_pct,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P001,Padang Besar,Azmi Khalid,BN,UMNO,18323,64.4,Wan Kharizal Wan Khazim,BA,PAS,9058,31.8,9265,Azmi Khalid,BN,UMNO,33899,84,11,NA,3,NA,NA,28453,83.9,672,2.4,1,Perlis,Government,Yes
P002,Kangar,Mohd Radzi Sheikh Ahmad,BN,UMNO,22498,68,Ishar Saad,BA,PAS,9950,30.1,12548,Abdul Hamid Pawanteh,BN,UMNO,40516,79,18,2,NA,NA,NA,33095,81.7,548,1.7,2,Perlis,Government,No
P003,Arau,Syed Razlan Syed Putra Jamalullail,BN,UMNO,17367,54.2,Haron Din,BA,PAS,14124,44.1,3243,Mastika Junaidah Husin,BN,UMNO,38067,87,9,NA,2,NA,NA,32062,84.2,533,1.7,3,Perlis,Government,No
P004,Langkawi,Abu Bakar Taib,BN,UMNO,16510,72.3,Zubir Ahmad,BA,PAS,5738,25.1,10772,Abu Bakar Taib,BN,UMNO,27980,90,7,3,NA,NA,NA,22844,81.6,560,2.5,4,Kedah,Government,Yes
P005,Jerlun,Abdul Rahman Ariffin,BN,UMNO,19123,51.9,Idris Ahmad,BA,PAS,16981,46.1,2142,Abu Bakar Othman,BA,PAS,44148,90,9,NA,NA,NA,NA,36822,83.4,718,2,5,Kedah,Government,No
P006,Kubang Pasu,Mohd Johari Baharum,BN,UMNO,26657,65.7,Abdul Isa Ismail,BA,PAS,12945,31.9,13712,Mahathir Mohamad,BN,UMNO,49594,84,10,4,NA,NA,NA,40602,81.9,919,2.3,6,Kedah,Government,No
P007,Padang Terap,Ghazali Ibrahim,BN,UMNO,14776,52.6,Zawawi Ahmad,BA,PAS,12604,44.9,2172,Zawawi Ahmad,BA,PAS,32412,92,2,NA,6,NA,NA,28094,86.7,693,2.5,7,Kedah,Government,Yes
P008,Pokok Sena,Abdul Rahman Ibrahim,BN,UMNO,29740,56.1,Mahfuz Omar,BA,PAS,22440,42.3,7300,Mahfuz Omar,BA,PAS,66072,78,19,3,NA,NA,NA,53035,80.3,855,1.6,8,Kedah,Government,Yes
P009,Alor Setar,Chor Chee Heung,BN,MCA,28379,65.6,Siti Nor Abdul Hamid,BA,PKR,13864,32.1,14515,Chor Chee Heung,BN,MCA,57313,58,36,5,NA,NA,NA,43257,75.5,828,1.9,9,Kedah,Government,Yes
P010,Kuala Kedah,Hashim Jahaya,BN,UMNO,36707,57.1,Mohamad Sabu,BA,PAS,26493,41.2,10214,Mohamad Sabu,BA,PAS,78791,77,21,2,NA,NA,NA,64332,81.7,1023,1.6,10,Kedah,Government,Yes
P011,Pendang,Mohd Hayati Othman,BA,PAS,24430,49.7,Md Rozai Shafian,BN,UMNO,24380,49.6,50,Othman Abdul,BN,UMNO,57180,88,7,NA,5,NA,NA,49193,86,383,0.8,11,Kedah,Opposition,No
P012,Jerai,Badruddin Amiruldin,BN,UMNO,30154,59.2,Che Din Arshad,BA,PAS,19749,38.8,10405,New constituency,NA,NA,63886,77,16,6,NA,NA,NA,50918,79.7,1015,2,12,Kedah,Government,No
P013,Sik,Wan Azmi Wan Ariffin,BN,UMNO,15357,48.5,Azizan Abdul Razak,BA,PAS,15038,47.5,319,Shahnon Ahmad,BA,PAS,37036,92,2,NA,5,NA,NA,31682,85.5,1287,4.1,13,Kedah,Government,No
P014,Merbok,Zainuddin Maidin,BN,UMNO,29607,65.8,Saiful Izham Ramli,BA,PKR,14162,31.5,15445,Daim Zainuddin,BN,UMNO,57922,63,19,18,NA,NA,NA,44981,77.7,1142,2.5,14,Kedah,Government,No
P015,Sungai Petani,Mahadzir Mohd Khir,BN,UMNO,36067,64.8,Zamri Yusuf,BA,PKR,18565,33.4,17502,Mahadzir Mohd Khir,BN,UMNO,70920,58,31,11,NA,NA,NA,55639,78.5,1007,1.8,15,Kedah,Government,Yes
P016,Baling,Mashitah Ibrahim,BN,UMNO,32661,52.5,Taib Azamudden Md Taib,BA,PAS,28432,45.7,4229,Taib Azamudden Md Taib,BA,PAS,74698,87,6,5,NA,NA,NA,62202,83.2,1109,1.8,16,Kedah,Government,Yes
P017,Padang Serai,Lim Bee Kau,BN,MCA,26269,60.7,Saifuddin Nasution Ismail,BA,PKR,15953,36.8,10316,Lim Bee Kau,BN,MCA,53925,53,24,23,NA,NA,NA,43307,80.3,1075,2.5,17,Kedah,Government,Yes
P018,Kulim-Bandar Baharu,Abdul Kadir Sheikh Fadzir,BN,UMNO,22556,58.2,Alwi Mohamed Yusop,BA,PKR,14558,37.5,7998,Abdul Kadir Sheikh Fadzir,BN,UMNO,50024,67,21,12,NA,NA,NA,38789,77.5,1181,3,18,Kedah,Government,Yes
P019,Tumpat,Kamarudin Jaffar,BA,PAS,27919,50.7,Mat Nawawi Mat Jusoh,BN,UMNO,26099,47.4,1820,Kamarudin Jaffar,BA,PAS,70810,92,3,NA,4,NA,NA,55090,77.8,1072,2,19,Kelantan,Opposition,Yes
P020,Pengkalan Chepa,Abdul Halim Abdul Rahman,BA,PAS,20621,57.1,Nik Mohd Zain Omar,BN,UMNO,14399,39.8,6222,Nik Mohd. Amar Nik Abdullah,BA,PAS,44844,97,2,NA,NA,NA,NA,36135,80.6,818,2.3,20,Kelantan,Opposition,No
P021,Kota Bharu,Zaid Ibrahim,BN,UMNO,23831,51,Nik Mahmood Nik Hassan,BA,PKR,22108,47.3,1723,Ramli Ibrahim,BA,PKR,61409,79,19,NA,NA,NA,NA,46707,76.1,768,1.6,21,Kelantan,Government,No
P022,Pasir Mas,Ismail Noh,BA,PAS,17526,42.3,Ahmed Rahim Abdul Rahman,BN,UMNO,16275,39.3,1251,Ismail Noh,BA,PAS,52771,96,4,NA,NA,NA,NA,41395,78.4,1396,3.4,22,Kelantan,Opposition,Yes
P022,Pasir Mas,Ismail Noh,BA,PAS,17526,42.3,Ibrahim Ali,NA,IND,6198,15,1251,Ismail Noh,BA,PAS,52771,96,4,NA,NA,NA,NA,41395,78.4,1396,3.4,22,Kelantan,Opposition,Yes
P023,Rantau Panjang,Abdul Fatah Haron,BA,PAS,15027,49.9,Mohd Daud Hamat,BN,UMNO,14295,47.5,732,Abdul Fatah Haron,BA,PAS,40956,98,NA,NA,NA,NA,NA,30088,73.5,701,2.3,23,Kelantan,Opposition,Yes
P024,Kubang Kerian,Salahuddin Ayub,BA,PAS,21430,55.7,Ahmad Rusli Iberahim,BN,UMNO,15803,41.1,5627,Husam Musa,BA,PAS,47148,98,2,NA,NA,NA,NA,38458,81.6,1225,3.2,24,Kelantan,Opposition,No
P025,Bachok,Awang Adek Hussin,BN,UMNO,25194,52.5,Wan Nik Wan Yusoff,BA,PAS,21922,45.7,3272,Wan Nik Wan Yusoff,BA,PAS,55319,98,NA,NA,NA,NA,NA,48009,86.8,893,1.9,25,Kelantan,Government,Yes
P026,Ketereh,Md Alwi Che Ahmad,BN,UMNO,20024,52.4,Muhamad Mustafa,BA,PKR,17136,44.9,2888,New constituency,NA,NA,46493,97,2,NA,NA,NA,NA,38187,82.1,751,2,26,Kelantan,Government,No
P027,Tanah Merah,Shaari Hassan,BN,UMNO,16107,52.1,Saupi Daud,BA,PKR,13580,43.9,2527,Saupi Daud,BA,PKR,37665,93,5,NA,NA,NA,NA,30915,82.1,788,2.6,27,Kelantan,Government,Yes
P028,Pasir Puteh,Kalthom Othman,BA,PAS,27018,52.3,Che Min Che Ahmad,BN,UMNO,23208,44.9,3810,Alwi Jusoh,BA,PAS,57308,98,2,NA,NA,NA,NA,51676,90.2,1184,2.3,28,Kelantan,Opposition,No
P029,Machang,Sazmi Miah,BN,UMNO,17464,49.3,Mohd Yusof Mohd Noor,BA,PAS,17329,49,135,Mohd Yusof Mohd Noor,BA,PAS,43874,95,5,NA,NA,NA,NA,35392,80.7,599,1.7,29,Kelantan,Government,Yes
P030,Jeli,Mustapa Mohamed,BN,UMNO,16960,62.9,Mohd Apandi Mohamad,BA,PAS,9607,35.6,7353,Mohd Apandi Mohamad,BA,PAS,32729,99,NA,NA,NA,NA,NA,26961,82.4,394,1.5,30,Kelantan,Government,Yes
P031,Kuala Krai,Mohammad Razali Che Mamat,BN,UMNO,19148,52.2,Wan Abdul Rahim Wan Abdullah,BA,PAS,16732,45.6,2416,Mohamed Nasir Che Daud,BA,PAS,45259,92,6,2,NA,NA,NA,36667,81,785,2.1,31,Kelantan,Government,No
P032,Gua Musang,Tengku Razaleigh Hamzah,BN,UMNO,13570,64.4,Zulkefli Mohamed,BA,PAS,6972,33.1,6598,Tengku Razaleigh Hamzah,BN,UMNO,26137,82,9,NA,9,NA,NA,21076,80.6,534,2.5,32,Kelantan,Government,Yes
P033,Besut,Abdullah Md Zin,BN,UMNO,26087,58.8,Nasharuddin Mat Isa,BA,PAS,17587,39.6,8500,Hassan Mohamed,BA,PAS,51284,98,2,NA,NA,NA,NA,44357,86.5,683,1.5,33,Terengganu,Government,No
P034,Setiu,Mohd Yusof Majid,BN,UMNO,23079,57.1,Che Ghani Che Ambak,BA,PAS,16383,40.5,6696,Che Ghani Che Ambak,BA,PAS,48161,99,NA,NA,NA,NA,NA,40412,83.9,714,1.8,34,Terengganu,Government,Yes
P035,Kuala Nerus,Che Azmi Abd Rahman,BN,UMNO,24895,53.5,Mohd Shukrimun Shamsuddin,BA,PAS,20798,44.7,4097,Mohd Shukrimun Shamsuddin,BA,PAS,52468,99,NA,NA,NA,NA,NA,46546,88.7,713,1.5,35,Terengganu,Government,Yes
P036,Kuala Terengganu,Razali Ismail,BN,UMNO,30994,50.9,Syed Azman Syed Ahmad Nawawi,BA,PAS,29061,47.7,1933,Syed Azman Syed Ahmad Nawawi,BA,PAS,72259,88,12,NA,NA,NA,NA,60939,84.3,790,1.3,36,Terengganu,Government,Yes
P037,Marang,Abdul Rahman Bakar,BN,UMNO,28076,49.1,Abdul Hadi Awang,BA,PAS,27913,48.8,163,Abdul Hadi Awang,BA,PAS,64367,98,2,NA,NA,NA,NA,57186,88.8,866,1.5,37,Terengganu,Government,Yes
P038,Hulu Terengganu,Tengku Putera Tengku Awang,BN,UMNO,23815,58.7,Muhyiddin Abdul Rashid,BA,PAS,16055,39.6,7760,Muhyiddin Abdul Rashid,BA,PAS,45258,99,NA,NA,NA,NA,NA,40559,89.6,633,1.6,38,Terengganu,Government,Yes
P039,Dungun,Rosli Mat Hassan,BN,UMNO,26398,52.6,Mustafa Ali,BA,PAS,21502,42.8,4896,Mustafa Ali,BA,PAS,55711,95,5,NA,NA,NA,NA,50206,90.1,708,1.4,39,Terengganu,Government,Yes
P040,Kemaman,Ahmad Shabery Cheek,BN,UMNO,36517,62.5,Abd Rahman Yusof,BA,PKR,20635,35.3,15882,Abdul Rahman Yusof,BA,PKR,66416,91,8,NA,NA,NA,NA,58461,88,1036,1.8,40,Terengganu,Government,No
P041,Kepala Batas,Abdullah Ahmad Badawi,BN,UMNO,25403,76.2,Abdul Khalid Rasid,BA,PAS,7281,21.8,18122,Abdullah Ahmad Badawi,BN,UMNO,39622,74,22,4,NA,NA,NA,33356,84.2,672,2,41,Penang,Government,Yes
P042,Tasek Gelugor,Mohd Shariff Omar,BN,UMNO,22011,63.7,Mujahid Yusof Rawa,BA,PAS,11828,34.2,10183,Mohd Shariff Omar,BN,UMNO,41615,77,15,7,NA,NA,NA,34551,83,620,1.8,42,Penang,Government,Yes
P043,Bagan,Lim Hock Seng,NA,DAP,23095,53,Lim Chien Aun,BN,MCA,19473,44.7,3622,Lim Hock Seng,BA,DAP,57322,15,71,14,NA,NA,NA,43542,76,961,2.2,43,Penang,Opposition,Yes
P044,Permatang Pauh,Wan Azizah Wan Ismail,BA,PKR,21737,49.7,Pirdaus Ismail,BN,UMNO,21147,48.4,590,Wan Azizah Wan Ismail,BA,PKR,54041,68,26,6,NA,NA,NA,43734,80.9,665,1.5,44,Penang,Opposition,Yes
P045,Bukit Mertajam,Chong Eng,NA,DAP,26215,57.7,Ma Kok Ben,BN,MCA,17651,38.8,8564,Chong Eng,BA,DAP,58736,19,73,9,NA,NA,NA,45442,77.4,1148,2.5,45,Penang,Opposition,Yes
P046,Batu Kawan,Huan Cheng Guan,BN,Gerakan,17097,52.5,Law Choo Kiang,BA,PKR,8099,24.9,8998,New constituency,NA,NA,43055,21,56,23,NA,NA,NA,32559,75.6,811,2.5,46,Penang,Government,No
P046,Batu Kawan,Huan Cheng Guan,BN,Gerakan,17097,52.5,Tanasekharan Autherapady,NA,DAP,6552,20.1,8998,New constituency,NA,NA,43055,21,56,23,NA,NA,NA,32559,75.6,811,2.5,46,Penang,Government,No
P047,Nibong Tebal,Zainal Abidin Osman,BN,UMNO,18823,58.1,Goh Kheng Huat,NA,DAP,12818,39.5,6005,Goh Kheng Huat,BA,DAP,41161,44,41,16,NA,NA,NA,32413,78.8,751,2.3,47,Penang,Government,Yes
P048,Bukit Bendera,Chia Kwang Chye,BN,Gerakan,28281,60.4,Zulkifli Mohd Noor,NA,DAP,17564,37.5,10717,Chia Kwang Chye,BN,Gerakan,65126,14,74,11,NA,NA,NA,46843,71.9,998,2.1,48,Penang,Government,Yes
