parliament,constituency,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,malay_voters_pct,chinese_voters_pct,indian_voters_pct,other_voters_pct,muslim_bumiputera_voters_pct,nonmuslim_bumiputera_voters_pct,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P049,Tanjong,Chow Kon Yeow,NA,DAP,21652,54.4,Ooi Swee Hing,BN,Gerakan,17424,43.8,4228,Chow Kon Yeow,BA,DAP,57902,5,86,9,NA,NA,NA,39793,68.7,717,1.8,49,Penang,Opposition,Yes
P050,Jelutong,Lee Kah Choon,BN,Gerakan,24988,57.4,Gooi Seong Kin,NA,DAP,17518,40.2,7470,Lee Kah Choon,BN,Gerakan,59641,20,68,12,NA,NA,NA,43538,73,1002,2.3,50,Penang,Government,Yes
P051,Bukit Gelugor,Karpal Singh Ram Singh,NA,DAP,22529,50.5,Lim Boo Chang,BN,MCA,21268,47.7,1261,New constituency,NA,NA,60123,16,74,10,NA,NA,NA,44618,74.2,793,1.8,51,Penang,Opposition,No
P052,Bayan Baru,Wong Kam Hoong,BN,MCA,29430,71.7,Ong Peng Cheow,BA,PKR,10579,25.8,18851,Wong Kam Hoong,BN,MCA,55407,40,48,12,NA,NA,NA,41020,74,1010,2.5,52,Penang,Government,Yes
P053,Balik Pulau,Hilmi Yahaya,BN,UMNO,21114,70.7,Rohana Ariffin,BA,PKR,8177,27.4,12937,Mohd. Zain Omar,BN,UMNO,38611,59,36,4,NA,NA,NA,29855,77.4,564,1.9,53,Penang,Government,No
P054,Gerik,Wan Hashim Wan Teh,BN,UMNO,12293,71.3,Ramli Tusin,BA,PAS,4213,24.4,8080,Khamsiyah Yeop,BN,UMNO,24646,67,20,NA,8,NA,NA,17247,70,737,4.3,54,Perak,Government,No
P055,Lenggong,Khamsiyah Yeop,BN,UMNO,10924,66.1,Zulkifli Abu,BA,PAS,5292,32,5632,New constituency,NA,NA,23159,78,18,2,NA,NA,NA,16531,71.4,295,1.8,55,Perak,Government,No
P056,Larut,Raja Ahmad Zainuddin Raja Omar,BN,UMNO,18421,61,Kamaruddin Awang Basir,BA,PAS,10983,36.4,7438,Raja Ahmad Zainuddin Raja Omar,BN,UMNO,40150,86,7,7,NA,NA,NA,30177,75.2,756,2.5,56,Perak,Government,Yes
P057,Parit Buntar,Abdul Hamid Zainal Abidin,BN,UMNO,19317,55.9,Hasan Mohamed Ali,BA,PAS,14619,42.3,4698,Hasan Mohamed Ali,BA,PAS,44797,67,28,5,NA,NA,NA,34566,77.2,590,1.7,57,Perak,Government,Yes
P058,Bagan Serai,Zainal Abidin Zin,BN,UMNO,19827,56.5,Ahmad Awang,BA,PAS,14213,40.5,5614,Zainal Abidin Zin,BN,UMNO,47745,73,16,11,NA,NA,NA,35066,73.4,982,2.8,58,Perak,Government,Yes
P059,Bukit Gantang,Tan Lian Hoe,BN,Gerakan,16846,60.8,Lo' Lo' Mohd Ghazali,BA,PAS,10144,36.6,6702,Abdullah Fadzil Che Wan,BN,UMNO,53880,63,28,10,NA,NA,NA,27699,51.4,655,2.4,59,Perak,Government,No
P060,Taiping,M. Kayveas,BN,PPP,20129,44.9,Ong Chee Keng,NA,DAP,17957,40.1,2172,Kerk Choo Ting,BN,Gerakan,65046,32,53,14,NA,NA,NA,44821,68.9,1337,3,60,Perak,Government,No
P060,Taiping,M. Kayveas,BN,PPP,20129,44.9,Annah Dorai Pakiri,BA,PKR,4371,9.8,2172,Kerk Choo Ting,BN,Gerakan,65046,32,53,14,NA,NA,NA,44821,68.9,1337,3,60,Perak,Government,No
P061,Padang Rengas,Mohamed Nazri Abdul Aziz,BN,UMNO,9214,65.7,Mohd Zolkafli Yahaya,BA,PKR,4442,31.7,4772,Mohamed Nazri Abdul Aziz,BN,UMNO,24863,73,20,7,NA,NA,NA,14025,56.4,323,2.3,61,Perak,Government,Yes
P062,Sungai Siput,Samy Vellu Sangalimuthu,BN,MIC,18797,60.9,Michael Jeyakumar Devaraj,BA,PKR,8562,27.7,10235,Samy Vellu Sangalimuthu,BN,MIC,46783,31,41,23,NA,NA,NA,30863,66,583,1.9,62,Perak,Government,Yes
P062,Sungai Siput,Samy Vellu Sangalimuthu,BN,MIC,18797,60.9,Samugam Ponmugam Ponnan,NA,DAP,2864,9.3,10235,Samy Vellu Sangalimuthu,BN,MIC,46783,31,41,23,NA,NA,NA,30863,66,583,1.9,62,Perak,Government,Yes
P063,Tambun,Ahmad Husni Hanadzlah,BN,UMNO,31824,66.9,Khairuddin Abdul Malek,BA,PAS,14464,30.4,17360,Ahmad Husni Hanadzlah,BN,UMNO,65219,63,24,12,NA,NA,NA,47572,72.9,1280,2.7,63,Perak,Government,Yes
P064,Ipoh Timor,Lim Kit Siang,NA,DAP,28851,58.7,Thong Fah Chong,BN,MCA,19077,38.8,9774,Thong Fah Chong,BN,MCA,73333,9,86,5,NA,NA,NA,49175,67.1,933,1.9,64,Perak,Opposition,Yes
P065,Ipoh Barat,Kulasegaran Murugeson,NA,DAP,22935,49,Ho Cheong Sing,BN,MCA,22337,47.8,598,Ho Cheong Sing,BN,MCA,68394,13,64,23,NA,NA,NA,46768,68.4,1015,2.2,65,Perak,Opposition,Yes
P066,Batu Gajah,Fong Po Kuan,NA,DAP,28662,56.3,Ong Ka Chuan,BN,MCA,20735,40.7,7927,Fong Po Kuan,BA,DAP,73148,10,79,11,NA,NA,NA,50952,69.7,771,1.5,66,Perak,Opposition,Yes
P067,Kuala Kangsar,Rafidah Aziz,BN,UMNO,11305,64.7,Mohammad Nizar Jamaluddin,BA,PAS,5748,32.9,5557,Rafidah Aziz,BN,UMNO,28391,65,27,7,NA,NA,NA,17484,61.6,305,1.7,67,Perak,Government,Yes
P068,Beruas,Lim Keng Yaik,BN,Gerakan,15867,54.1,Nga Hock Cheh,NA,DAP,11303,38.6,4564,Lim Keng Yaik,BN,Gerakan,42173,32,55,13,NA,NA,NA,29318,69.5,1103,3.8,68,Perak,Government,Yes
P069,Parit,Nasarudin Hashim,BN,UMNO,12808,59.5,Muhammad Ismi Mat Taib,BA,PAS,8112,37.7,4696,Mat Basir Rahmat,BA,PAS,28916,91,4,4,NA,NA,NA,21532,74.5,483,2.2,69,Perak,Government,No
P070,Kampar,Hew See Tong,BN,MCA,23129,60.3,Liew Ah Kim,NA,DAP,13655,35.6,9474,Hew See Tong,BN,MCA,60874,26,64,10,NA,NA,NA,38326,63,1542,4,70,Perak,Government,Yes
P071,Gopeng,Ting Chew Peh,BN,MCA,29660,62.8,Lee Boon Chye,BA,PKR,15400,32.6,14260,Ting Chew Peh,BN,MCA,68466,42,48,9,NA,NA,NA,47214,69,1323,2.8,71,Perak,Government,Yes
P072,Tapah,S Veerasingam,BN,MIC,16945,66,Mohd Radzi Othman,BA,PAS,7359,28.7,9586,S Veerasingam,BN,MIC,38899,44,34,13,NA,NA,NA,25681,66,956,3.7,72,Perak,Government,Yes
P073,Pasir Salak,Ramli Ngah Talib,BN,UMNO,19422,62.2,Muhaimin Sulam,BA,PAS,10875,34.8,8547,Ramli Ngah Talib,BN,UMNO,42959,79,15,5,NA,NA,NA,31216,72.7,919,2.9,73,Perak,Government,Yes
P074,Lumut,Kong Cho Ha,BN,MCA,27415,54.6,Mustaffa Kamil Ayub,BA,PKR,15801,31.5,11614,Kong Cho Ha,BN,MCA,68522,47,41,11,NA,NA,NA,50179,73.2,1477,2.9,74,Perak,Government,Yes
P075,Bagan Datok,Ahmad Zahid Hamidi,BN,UMNO,17049,75.3,Ayyathurai Achutaraman,BA,PKR,4510,19.9,12539,Ahmad Zahid Hamidi,BN,UMNO,34182,57,20,23,NA,NA,NA,22634,66.2,1075,4.8,75,Perak,Government,Yes
P076,Telok Intan,Mah Siew Keong,BN,Gerakan,18665,53.5,Wu Him Ven,NA,DAP,8829,25.3,9836,Mah Siew Keong,BN,Gerakan,53063,35,45,20,NA,NA,NA,34877,65.7,1255,3.6,76,Perak,Government,Yes
P076,Telok Intan,Mah Siew Keong,BN,Gerakan,18665,53.5,Gobalakrishnan Nagapan,BA,PKR,6128,17.6,9836,Mah Siew Keong,BN,Gerakan,53063,35,45,20,NA,NA,NA,34877,65.7,1255,3.6,76,Perak,Government,Yes
P077,Tanjong Malim,Loke Yuen Yow,BN,MCA,24025,68.8,Shamsuddin Abdul Rahman,BA,PKR,9489,27.2,14536,Loke Yuen Yow,BN,MCA,52743,49,32,16,NA,NA,NA,34906,66.2,1275,3.7,77,Perak,Government,Yes
P078,Cameron Highlands,Devamany S. Krishnasamy,BN,MIC,10226,67.3,Apalasamy Jataliah,NA,DAP,3966,26.1,6260,New constituency,NA,NA,23061,36,33,NA,16,NA,NA,15202,65.9,1010,6.6,78,Pahang,Government,No
P079,Lipis,Mohamad Shahrum Osman,BN,UMNO,13870,66.4,Mohd Zai Mustafa,BA,PAS,6246,29.9,7624,Amihamzah Ahmad,BN,UMNO,28083,73,20,7,NA,NA,NA,20875,74.3,528,2.5,79,Pahang,Government,No
P080,Raub,Ng Yen Yen,BN,MCA,20472,62.9,Choong Siew Oon,NA,DAP,10720,32.9,9752,Ng Yen Yen,BN,MCA,44543,48,44,7,NA,NA,NA,32546,73.1,1280,3.9,80,Pahang,Government,Yes
P081,Jerantut,Tengku Azlan Sultan Abu Bakar,BN,UMNO,21349,58.6,Hamzah Jaafar,BA,PAS,12892,35.4,8457,Tengku Azlan Sultan Abu Bakar,BN,UMNO,46059,80,15,3,NA,NA,NA,36444,79.1,776,2.1,81,Pahang,Government,Yes
P082,Indera Mahkota,Wan Adnan Wan Mamat,BN,UMNO,25177,67.5,Dzulkifli Ismail,BA,PKR,10948,29.4,14229,New constituency,NA,NA,47455,65,28,6,NA,NA,NA,37296,78.6,801,2.2,82,Pahang,Government,No
P083,Kuantan,Fu Ah Kiow,BN,MCA,21324,62.2,Fuziah Salleh,BA,PKR,12177,35.5,9147,Mohd Khalil Yaakob,BN,UMNO,45935,58,37,5,NA,NA,NA,34290,74.7,543,1.6,83,Pahang,Government,No
P084,Paya Besar,Siti Zaharah Sulaiman,BN,UMNO,20474,70.6,Saari Sungib,BA,PKR,7956,27.4,12518,Siti Zaharah Sulaiman,BN,UMNO,37440,78,19,2,NA,NA,NA,29001,77.5,564,1.9,84,Pahang,Government,Yes
P085,Pekan,Najib Razak,BN,UMNO,31956,77.9,Zakaria Dahlan,BA,PAS,9034,22,22922,Najib Razak,BN,UMNO,52687,89,3,NA,6,NA,NA,41046,77.9,56,0.1,85,Pahang,Government,Yes
P086,Maran,Ismail Muttalib,BN,UMNO,15725,63.1,Tuan Ibrahim Tuan Man,BA,PAS,8483,34.1,7242,Muhammad Abdullah,BN,UMNO,31860,89,8,2,NA,NA,NA,24910,78.2,569,2.3,86,Pahang,Government,No
P087,Kuala Krau,Ismail Mohamed Said,BN,UMNO,16021,63.6,Musaniff Ab Rahman,BA,PAS,8670,34.4,7351,New constituency,NA,NA,31404,89,4,NA,4,NA,NA,25179,80.2,487,1.9,87,Pahang,Government,No
P088,Temerloh,Mohd Sarit Yusoh,BN,UMNO,24633,65.6,Idris Omar,BA,PAS,12026,32,12607,Mohd Sarit Yusoh,BN,UMNO,49984,62,27,9,NA,NA,NA,37543,75.1,884,2.4,88,Pahang,Government,Yes
P089,Bentong,Liow Tiong Lai,BN,MCA,27144,70.2,Abu Bakar Lebai Sudin,NA,DAP,10305,26.6,16839,Liow Tiong Lai,BN,MCA,52665,41,49,9,NA,NA,NA,38689,73.5,1000,2.6,89,Pahang,Government,Yes
P090,Bera,Ismail Sabri Yaakob,BN,UMNO,16714,55.9,Abdul Wahab Ismail,BA,PAS,12244,41,4470,New constituency,NA,NA,40631,58,35,5,NA,NA,NA,29874,73.5,889,3,90,Pahang,Government,No
P091,Rompin,Jamaluddin Jarjis,BN,UMNO,19359,65.4,Sukri Ahmad,BA,PAS,10009,33.8,9350,Jamaluddin Jarjis,BN,UMNO,38319,89,3,NA,6,NA,NA,29585,79,217,2.3,91,Pahang,Government,Yes
P092,Sabak Bernam,Mat Yasir Ikhsan,BN,UMNO,13826,59.9,Badrul Amin Bahron,BA,PKR,8478,36.7,5348,Zainal Dahlan,BN,UMNO,30862,80,14,6,NA,NA,NA,23087,74.8,776,3.4,92,Selangor,Government,No
P093,Sungai Besar,Noriah Kasnon,BN,UMNO,15337,63.6,Sallehen Mukhyi,BA,PAS,7988,33.1,7349,New constituency,NA,NA,31001,66,32,2,NA,NA,NA,24120,77.8,795,3.3,93,Selangor,Government,No
P094,Hulu Selangor,Palanivel K. Govindasamy,BN,MIC,27807,65.3,Ismail Kamus,BA,PAS,13324,31.3,14483,Palanivel K. Govindasamy,BN,MIC,58533,50,29,19,NA,NA,NA,42592,72.8,1406,3.3,94,Selangor,Government,Yes
P095,Tanjong Karang,Noh Omar,BN,UMNO,17750,65.3,Abdul Ghani Samsudin,BA,PAS,8742,32.1,9008,Noh Omar,BN,UMNO,35816,70,18,13,NA,NA,NA,27196,75.9,704,2.6,95,Selangor,Government,Yes
P096,Kuala Selangor,Mohd Daud Taripeh,BN,UMNO,22001,70.4,Raja Kamaruddin Raja Abdul Wahid,BA,PKR,8339,26.7,13662,Jamaluddin Adnan,BN,UMNO,41712,60,17,23,NA,NA,NA,31231,74.9,866,2.8,96,Selangor,Government,No
P097,Selayang,Chan Kong Choy,BN,MCA,36343,71.2,Koh Swe Yong,BA,PKR,13117,25.7,23226,Chan Kong Choy,BN,MCA,71152,44,39,17,NA,NA,NA,51033,71.7,1444,2.8,97,Selangor,Government,Yes
P098,Gombak,Rahman Ismail,BN,UMNO,39870,59.2,Mohd Hatta Ramli,BA,PAS,26663,39.6,13207,Zaleha Ismail,BN,UMNO,92225,74,14,11,NA,NA,NA,67358,73,691,1,98,Selangor,Government,No
P099,Ampang,Rozaidah Talib,BN,UMNO,33214,70,Xavier Jayakumar Arulanandam,BA,PKR,13482,28.4,19732,New constituency,NA,NA,66626,55,35,10,NA,NA,NA,47479,71.3,710,1.5,99,Selangor,Government,No
