parliament,constituency,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,malay_voters_pct,chinese_voters_pct,indian_voters_pct,other_voters_pct,muslim_bumiputera_voters_pct,nonmuslim_bumiputera_voters_pct,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P001,Padang Besar,Zahidi Zainul Abidin,BN,UMNO,21473,59.6,Azamhari Mohamood,PR,PAS,14047,39,7426,Azmi Khalid,BN,UMNO,41974,86,9,NA,4,NA,NA,36051,85.9,531,1.3,1,Perlis,Government,No
P002,Kangar,Shaharuddin Ismail,BN,UMNO,23343,53.9,Baharuddin Ahmad,PR,PAS,19306,44.6,4037,Mohd Radzi Sheikh Ahmad,BN,UMNO,51207,81,16,2,NA,NA,NA,43316,84.6,667,1.5,2,Perlis,Government,No
P003,Arau,Shahidan Kassim,BN,UMNO,19376,50.6,Haron Din,PR,PAS,18005,47,1371,Ismail Kassim,BN,UMNO,43876,88,8,NA,3,NA,NA,38312,87.3,525,1.2,3,Perlis,Government,No
P003,Arau,Shahidan Kassim,BN,UMNO,19376,50.6,Zainudin Yom,NA,IND,406,1.1,1371,Ismail Kassim,BN,UMNO,43876,88,8,NA,3,NA,NA,38312,87.3,525,1.2,3,Perlis,Government,No
P004,Langkawi,Nawawi Ahmad,BN,UMNO,21407,67.2,Ahmad Abdullah,PR,PKR,9546,29.9,11861,Abu Bakar Taib,BN,UMNO,37536,91,6,2,NA,NA,NA,31877,84.9,744,2,4,Kedah,Government,No
P004,Langkawi,Nawawi Ahmad,BN,UMNO,21407,67.2,Marina Hussein,NA,IND,180,0.6,11861,Abu Bakar Taib,BN,UMNO,37536,91,6,2,NA,NA,NA,31877,84.9,744,2,4,Kedah,Government,No
P005,Jerlun,Othman Aziz,BN,UMNO,24161,52.8,Ismail Salleh,PR,PAS,20891,45.6,3270,Mukhriz Mahathir,BN,UMNO,52383,91,8,NA,2,NA,NA,45782,87.4,730,1.4,5,Kedah,Government,No
P006,Kubang Pasu,Mohd Johari Baharum,BN,UMNO,33334,58.4,Mohd Jamal Nasir,PR,PAS,22890,40.1,10444,Mohd Johari Baharum,BN,UMNO,65550,86,9,4,NA,NA,NA,57058,87,834,1.3,6,Kedah,Government,Yes
P007,Padang Terap,Mahdzir Khalid,BN,UMNO,20654,54.6,Mohd Nasir Zakaria,PR,PAS,16212,42.9,4442,Mohd Nasir Zakaria,PR,PAS,41960,92,1,NA,6,NA,NA,37800,90.1,691,1.6,7,Kedah,Government,Yes
P007,Padang Terap,Mahdzir Khalid,BN,UMNO,20654,54.6,Muhamad Bazli Abdullah,NA,IND,243,0.6,4442,Mohd Nasir Zakaria,PR,PAS,41960,92,1,NA,6,NA,NA,37800,90.1,691,1.6,7,Kedah,Government,Yes
P008,Pokok Sena,Mahfuz Omar,PR,PAS,36198,52.2,Shahlan Ismail,BN,UMNO,32263,46.5,3935,Mahfuz Omar,PR,PAS,80714,80,18,2,NA,NA,NA,69309,85.9,848,1.1,8,Kedah,Opposition,Yes
P009,Alor Setar,Gooi Hsiao-Leung,PR,PKR,27364,47.4,Chor Chee Heung,BN,MCA,25491,44.2,1873,Chor Chee Heung,BN,MCA,69009,61,34,5,NA,NA,NA,57712,83.6,1070,1.6,9,Kedah,Opposition,Yes
P009,Alor Setar,Gooi Hsiao-Leung,PR,PKR,27364,47.4,Abdul Fisol Mohd Isa,NA,BERJASA,3530,6.1,1873,Chor Chee Heung,BN,MCA,69009,61,34,5,NA,NA,NA,57712,83.6,1070,1.6,9,Kedah,Opposition,Yes
P009,Alor Setar,Gooi Hsiao-Leung,PR,PKR,27364,47.4,Jawahar Raja Abdul Wahid,NA,MUPP,257,0.4,1873,Chor Chee Heung,BN,MCA,69009,61,34,5,NA,NA,NA,57712,83.6,1070,1.6,9,Kedah,Opposition,Yes
P010,Kuala Kedah,Azman Ismail,PR,PKR,42870,52.3,Zaki Zamani Abd Rashid,BN,UMNO,37923,46.2,4947,Ahmad Kassim,PR,PKR,95328,78,21,1,NA,NA,NA,82005,86,1212,1.3,10,Kedah,Opposition,No
P011,Pendang,Othman Abdul,BN,UMNO,32165,51.5,Mohamad Sabu,PR,PAS,29527,47.3,2638,Mohd Hayati Othman,PR,PAS,70135,88,6,NA,6,NA,NA,62451,89,759,1.1,11,Kedah,Government,No
P012,Jerai,Jamil Khir Baharom,BN,UMNO,32429,50.2,Mohd Firdaus Jaafar,PR,PAS,31233,48.3,1196,Mohd Firdaus Jaafar,PR,PAS,74410,79,15,6,NA,NA,NA,64614,86.8,952,1.3,12,Kedah,Government,Yes
P013,Sik,Mansor Abd Rahman,BN,UMNO,22084,52.6,Che Uda Che Nik,PR,PAS,19277,45.9,2807,Che Uda Che Nik,PR,PAS,46786,93,2,NA,5,NA,NA,41992,89.8,631,1.3,13,Kedah,Government,Yes
