parliament,constituency,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,malay_voters_pct,chinese_voters_pct,indian_voters_pct,other_voters_pct,muslim_bumiputera_voters_pct,nonmuslim_bumiputera_voters_pct,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P120,Bukit Bintang,Fong Kui Lun,PR,DAP,26811,66.3,Lee Chong Meng,BN,MCA,12534,31,14277,Fong Kui Lun,NA,DAP,59986,15,75,10,NA,NA,NA,40441,67.4,466,1.2,120,Kuala Lumpur,Opposition,Yes
P121,Lembah Pantai,Nurul Izzah Anwar,PR,PKR,21728,52.6,Shahrizat Abdul Jalil,BN,UMNO,18833,45.6,2895,Shahrizat Abdul Jalil,BN,UMNO,56650,55,27,18,NA,NA,NA,41289,72.9,239,0.6,121,Kuala Lumpur,Opposition,Yes
P121,Lembah Pantai,Nurul Izzah Anwar,PR,PKR,21728,52.6,Periasamy Nagarathnam,NA,IND,489,1.2,2895,Shahrizat Abdul Jalil,BN,UMNO,56650,55,27,18,NA,NA,NA,41289,72.9,239,0.6,121,Kuala Lumpur,Opposition,Yes
P122,Seputeh,Teresa Kok Suh Sim,PR,DAP,47230,81.1,Carol Chew Chee Lin,BN,MCA,10738,18.4,36492,Teresa Kok Suh Sim,NA,DAP,76891,6,87,5,NA,NA,NA,58207,75.7,174,0.3,122,Kuala Lumpur,Opposition,Yes
P123,Cheras,Tan Kok Wai,PR,DAP,39253,77.6,Jeffrey Goh Sim Ik,BN,MCA,10953,21.7,28300,Tan Kok Wai,NA,DAP,68725,10,84,6,NA,NA,NA,50571,73.6,244,0.5,123,Kuala Lumpur,Opposition,Yes
P124,Bandar Tun Razak,Abdul Khalid Ibrahim,PR,PKR,28123,51.1,Tan Chai Ho,BN,MCA,25608,46.6,2515,Tan Chai Ho,BN,MCA,72628,53,40,7,NA,NA,NA,54995,75.7,557,1,124,Kuala Lumpur,Opposition,Yes
P125,Putrajaya,Tengku Adnan Tengku Mansor,BN,UMNO,4038,74.6,Mohamad Noor Mohamad,PR,PAS,1304,24.1,2734,Tengku Adnan Tengku Mansor,BN,UMNO,6608,95,NA,4,NA,NA,NA,5416,82,38,0.7,125,Putrajaya,Government,Yes
P126,Jelebu,Rais Yatim,BN,UMNO,19737,68,Norman Ipin,PR,PAS,8127,28,11610,Rais Yatim,BN,UMNO,38682,62,28,7,NA,NA,NA,29029,75.1,769,2.7,126,Negeri Sembilan,Government,Yes
P127,Jempol,Lilah Yasin,BN,UMNO,25294,64.3,Siti Meriam Naan,PR,PAS,12974,33,12320,Mohamed Isa Abdul Samad,BN,UMNO,53478,58,28,14,NA,NA,NA,39322,73.5,1054,2.7,127,Negeri Sembilan,Government,No
P128,Seremban,John Fernandez,PR,DAP,32970,51.2,Yu Chok Tow,BN,MCA,29022,45,3948,Hon Choon Kim,BN,MCA,84675,42,46,12,NA,NA,NA,64437,76.1,2248,3.5,128,Negeri Sembilan,Opposition,No
P129,Kuala Pilah,Hasan Malek,BN,UMNO,20417,64.3,Annuar Mohd Salleh,PR,PKR,10409,32.8,10008,Hasan Malek,BN,UMNO,42328,77,18,5,NA,NA,NA,31734,75,908,2.9,129,Negeri Sembilan,Government,Yes
P130,Rasah,Loke Siew Fook,PR,DAP,34271,60.5,Yeow Chai Thiam,BN,MCA,21120,37.3,13151,Goh Siow Huat,BN,MCA,72115,28,52,20,NA,NA,NA,56654,78.6,1261,2.2,130,Negeri Sembilan,Opposition,No
P131,Rembau,Khairy Jamaluddin Abu Bakar,BN,UMNO,26525,54.2,Badrul Hisham Shaharin,PR,PKR,20779,42.5,5746,Firdaus Muhammad Rom Harun,BN,UMNO,62896,69,15,16,NA,NA,NA,48901,77.8,1086,2.2,131,Negeri Sembilan,Government,No
P132,Telok Kemang,Kamarul Bahrin Abbas,PR,PKR,23348,50.1,Sothinathan Sinna Goundar,BN,MIC,20544,44.1,2804,Sothinathan Sinna Goundar,BN,MIC,60186,41,36,22,NA,NA,NA,46613,77.5,1299,2.8,132,Negeri Sembilan,Opposition,Yes
P132,Telok Kemang,Kamarul Bahrin Abbas,PR,PKR,23348,50.1,Mohd Rashid Arshad,NA,IND,601,1.3,2804,Sothinathan Sinna Goundar,BN,MIC,60186,41,36,22,NA,NA,NA,46613,77.5,1299,2.8,132,Negeri Sembilan,Opposition,Yes
P133,Tampin,Shaziman Abu Mansor,BN,UMNO,24022,66.1,Abdul Razakek Abdul Rahim,PR,PAS,10943,30.1,13079,Shaziman Abu Mansor,BN,UMNO,47655,61,25,13,NA,NA,NA,36331,76.2,1115,3.1,133,Negeri Sembilan,Government,Yes
P134,Masjid Tanah,Abu Seman Yusop,BN,UMNO,21582,68,Ab. Ghani Ab. Rahman,PR,PAS,9297,29.3,12285,Abu Seman Yusop,BN,UMNO,40606,82,14,4,NA,NA,NA,31715,78.1,717,2.3,134,Melaka,Government,Yes
P135,Alor Gajah,Fong Chan Onn,BN,MCA,26354,63,Tan Lay Siang,PR,DAP,13470,32.2,12884,Fong Chan Onn,BN,MCA,54097,58,30,12,NA,NA,NA,41854,77.4,1953,4.7,135,Melaka,Government,Yes
P136,Tangga Batu,Idris Haron,BN,UMNO,30460,61.3,Zainon Jaafar,PR,PKR,15960,32.1,14500,Idris Haron,BN,UMNO,60188,70,25,2,NA,NA,NA,49675,82.5,1283,2.6,136,Melaka,Government,Yes
P137,Bukit Katil,Md Sirat Abu,BN,UMNO,30975,49.9,Khalid Jaafar,PR,PKR,29217,47.1,1758,Mohd Ruddin Abdul Ghani,BN,UMNO,75777,53,41,6,NA,NA,NA,62073,81.9,1173,1.9,137,Melaka,Government,No
