"","state","seat","undi_keluar_peti","undi_dalam_peti","undi_tak_kembali","undi_tolak","majoriti","peratus_keluar","undi_rosak","pengundi_jumlah","pengundi_tidak_hadir","rosak_vs_keseluruhan","rosak_vs_majoriti","tidakhadir_vs_majoriti"
"38","Terengganu","P.038 Hulu Terengganu",63428,63217,211,871,2868,86.30000305,1082,73497,10069,1.70587122406508,37.7266387726639,351.080892608089
"39","Terengganu","P.039 Dungun",76706,76300,406,886,13119,84.80000305,1292,90455,13749,1.68435324485699,9.84831160911655,104.802195289275
"40","Terengganu","P.040 Kemaman",92007,91630,377,1126,2163,85.5,1503,107610,15603,1.63357135870097,69.4868238557559,721.359223300971
"41","Pulau Pinang","P.041 Kepala Batas",53127,53017,110,715,4736,87.80000305,825,60509,7382,1.55288271500367,17.4197635135135,155.869932432432
"42","Pulau Pinang","P.042 Tasek Gelugor",52890,52593,297,689,81,86.90000153,986,60863,7973,1.86424654944224,1217.28395061728,9843.20987654321
"43","Pulau Pinang","P.043 Bagan",60642,60550,92,463,43902,84.69999695,555,71596,10954,0.915207282081726,1.26417930845975,24.9510272880507
"44","Pulau Pinang","P.044 Permatang Pauh",70686,70486,200,658,15668,86.40000153,858,81812,11126,1.21381886087768,5.47612969109012,71.0109777891243
"45","Pulau Pinang","P.045 Bukit Mertajam",75977,75800,177,1109,52877,85.40000153,1286,88966,12989,1.69261750266528,2.43205930744936,24.564555477807
"46","Pulau Pinang","P.046 Batu Kawan",55479,55380,99,675,33553,84.80000305,774,65423,9944,1.39512247877575,2.3067981998629,29.6366941853188
"47","Pulau Pinang","P.047 Nibong Tebal",63199,63039,160,860,15817,86.09999847,1020,73401,10202,1.61394958780993,6.44875766580262,64.5002212809003
"48","Pulau Pinang","P.048 Bukit Bendera",60429,60218,211,512,40731,80.5,723,75067,14638,1.19644541528074,1.77506076452825,35.9382288674474
"49","Pulau Pinang","P.049 Tanjong",40130,40074,56,347,29599,80.90000153,403,49604,9474,1.0042362322452,1.36153248420555,32.0078381026386
"50","Pulau Pinang","P.050 Jelutong",64584,64386,198,720,38171,83.90000153,918,76977,12393,1.42140468227425,2.40496712163684,32.4670561420974
"51","Pulau Pinang","P.051 Bukit Gelugor",76489,76233,256,528,55951,83.5,784,91603,15114,1.02498398462524,1.40122607281371,27.0129220210541
"52","Pulau Pinang","P.052 Bayan Baru",75884,75611,273,762,37751,83.59999847,1035,90770,14886,1.36392388382268,2.74164922783502,39.4320680246881
"53","Pulau Pinang","P.053 Balik Pulau",50564,50407,157,631,6464,85.59999847,788,59070,8506,1.55842101099597,12.1905940594059,131.590346534653
"54","Perak","P.054 Gerik",28032,27906,126,595,5528,78.09999847,721,35892,7860,2.5720605022831,13.0426917510854,142.18523878437
"55","Perak","P.055 Lenggong",23719,23610,109,405,5773,79.69999695,514,29760,6041,2.16703908259201,8.90351636930539,104.642300363762
"56","Perak","P.056 Larut",40470,40342,128,722,4486,81.80000305,850,49474,9004,2.10032122559921,18.9478377173428,200.713330361123
"57","Perak","P.057 Parit Buntar",43347,43256,91,536,3098,83.59999847,627,51850,8503,1.44646688352135,20.2388637830859,274.467398321498
"58","Perak","P.058 Bagan Serai",48381,48120,261,865,172,81.59999847,1126,59290,10909,2.32735991401583,654.651162790698,6342.44186046512
"59","Perak","P.059 Bukit Gantang",57867,57624,243,761,4089,82.80000305,1004,69887,12020,1.73501304715987,24.5536806065053,293.959403277085
"60","Perak","P.060 Taiping",71297,70835,462,1092,27384,78.59999847,1554,90708,19411,2.17961485055472,5.67484662576687,70.8844580777096
"61","Perak","P.061 Padang Rengas",25698,25596,102,315,2548,82.90000153,417,30998,5300,1.62269437310297,16.3657770800628,208.006279434851
"62","Perak","P.062 Sungai Siput",43662,43540,122,814,5607,79.40000153,936,54989,11327,2.14374055242545,16.69341894061,202.015337970394
"63","Perak","P.063 Tambun",88920,87910,1010,960,5320,82.5,1970,107781,18861,2.21547458389564,37.0300751879699,354.53007518797
"64","Perak","P.064 Ipoh Timor",71726,71264,462,1023,42797,78.40000153,1485,91487,19761,2.07037894208516,3.46986938336799,46.1737972287777
"65","Perak","P.065 Ipoh Barat",66852,66380,472,878,45724,78.80000305,1350,84837,17985,2.01938610662359,2.95249759426122,39.3338290613245
"66","Perak","P.066 Batu Gajah",63804,63520,284,733,43868,78.40000153,1017,81382,17578,1.59394395335716,2.31831859214006,40.0702106318957
"67","Perak","P.067 Kuala Kangsar",30701,30567,134,511,731,83.09999847,645,36944,6243,2.1009087651868,88.2352941176471,854.035567715458
"68","Perak","P.068 Beruas",61617,61276,341,1009,27954,77.19999695,1350,79814,18197,2.19095379521885,4.82936252414681,65.0962295199256
"69","Perak","P.069 Parit",29547,29415,132,425,6320,82.30000305,557,35901,6354,1.88513216231766,8.81329113924051,100.537974683544
"70","Perak","P.070 Kampar",53567,53353,214,858,11801,77.09999847,1072,69477,15910,2.00123210185375,9.08397593424286,134.819083128548
"71","Perak","P.071 Gopeng",80532,80086,446,853,29778,81.19999695,1299,99177,18645,1.61302339442706,4.36228087850091,62.6133387064276
"72","Perak","P.072 Tapah",37113,36934,179,760,614,78.69999695,939,47157,10044,2.53011074286638,152.931596091205,1635.83061889251
"73","Perak","P.073 Pasir Salak",44508,44340,168,895,7712,81.40000153,1063,54678,10170,2.38833468140559,13.7837136929461,131.872406639004
"74","Perak","P.074 Lumut",55042,54726,316,1081,400,82,1397,67124,12082,2.53806184368301,349.25,3020.5
"75","Perak","P.075 Bagan Datuk",37796,37620,176,814,5073,79.90000153,990,47304,9508,2.61932479627474,19.5150798344175,187.42361521782
"76","Perak","P.076 Teluk Intan",54601,54397,204,742,11179,82.09999847,946,66505,11904,1.73256900056776,8.46229537525718,106.485374362644
"77","Perak","P.077 Tanjong Malim",55613,55348,265,1051,5358,81.19999695,1316,68488,12875,2.36635319080071,24.5614035087719,240.294886151549
"78","Pahang","P.078 Cameron Highlands",25326,25155,171,790,597,79,961,32058,6732,3.79451946616126,160.971524288107,1127.63819095477
"79","Pahang","P.079 Lipis",28666,28554,112,462,6569,81.19999695,574,35302,6636,2.00237214818949,8.73801187395342,101.019942152535
"80","Pahang","P.080 Raub",46971,46791,180,766,3159,81.40000153,946,57703,10732,2.01400864363118,29.9461855017411,339.727761949984
"81","Pahang","P.081 Jerantut",51414,51190,224,941,5908,80.80000305,1165,63631,12217,2.26591978838449,19.7190250507786,206.78740690589
"82","Pahang","P.082 Indera Mahkota",64612,64343,269,622,10950,83.69999695,891,77194,12582,1.37900080480406,8.13698630136986,114.904109589041
"83","Pahang","P.083 Kuantan",52167,51968,199,798,8111,83.19999695,997,62700,10533,1.91116989667798,12.2919492047836,129.860683023055
"84","Pahang","P.084 Paya Besar",44942,44771,171,671,5742,81.5,842,55143,10201,1.87352587779805,14.6638801811216,177.655869035179
"85","Pahang","P.085 Pekan",72308,72007,301,1393,24859,81.30000305,1694,88939,16631,2.34275598827239,6.81443340440082,66.9013234643389
"86","Pahang","P.086 Maran",33363,33207,156,482,3763,81.30000305,638,41036,7673,1.91229805473129,16.9545575338825,203.906457613606
"87","Pahang","P.087 Kuala Krau",39102,38924,178,613,2876,82.69999695,791,47281,8179,2.02291442892947,27.5034770514604,284.388038942976
"88","Pahang","P.088 Temerloh",62204,61915,289,865,1904,82.80000305,1154,75125,12921,1.85518616166163,60.609243697479,678.623949579832
"89","Pahang","P.089 Bentong",56173,55889,284,783,2032,83.40000153,1067,67353,11180,1.89948907838285,52.509842519685,550.196850393701
"90","Pahang","P.090 Bera",48339,48072,267,767,2311,82.30000305,1034,58735,10396,2.13905955853452,44.7425356988317,449.848550411077
"91","Pahang","P.091 Rompin",50905,50654,251,917,11395,82.19999695,1168,61928,11023,2.29447009134663,10.2501096972356,96.7354102676613
"92","Selangor","P.092 Sabak Bernam",34023,33915,108,565,1674,83.30000305,673,40843,6820,1.9780736560562,40.2031063321386,407.407407407407
"93","Selangor","P.093 Sungai Besar",41878,41770,108,564,714,85.90000153,672,48752,6874,1.60466115860356,94.1176470588235,962.745098039216
"94","Selangor","P.094 Hulu Selangor",86798,86531,267,1310,13391,85.90000153,1577,101045,14247,1.81686213968064,11.7765663505339,106.392353072959
"95","Selangor","P.095 Tanjong Karang",41184,41029,155,531,1970,87.30000305,686,47175,5991,1.66569541569542,34.8223350253807,304.111675126904
"96","Selangor","P.096 Kuala Selangor",60843,60717,126,996,8498,87.69999695,1122,69376,8533,1.84409052808047,13.2031066133208,100.411861614498
"97","Selangor","P.097 Selayang",99450,98955,495,953,40657,85.59999847,1448,116179,16729,1.45600804424334,3.56150232432299,41.1466660107731
"98","Selangor","P.098 Gombak",120548,119975,573,933,48721,85.40000153,1506,141156,20608,1.24929488668414,3.0910695593276,42.297982389524
"99","Selangor","P.099 Ampang",77539,77158,381,608,41956,84.5,989,91762,14223,1.27548717419621,2.35723138526075,33.8997997902565
"100","Selangor","P.100 Pandan",86514,86291,223,517,52543,85.40000153,740,101304,14790,0.855352890861595,1.40837028719335,28.1483737129589
"101","Selangor","P.101 Hulu Langat",89577,89176,401,929,25424,87.5,1330,102373,12796,1.48475613159628,5.23127753303965,50.3303964757709
"102","Selangor","P.102 Bangi",157933,157441,492,1114,68768,88.30000305,1606,178859,20926,1.01688690773936,2.33538855281526,30.4298510935319
"103","Selangor","P.103 Puchong",84357,84145,212,667,47635,87.5,879,96408,12051,1.04200007112628,1.84528183058675,25.2986249606382
"104","Selangor","P.104 Subang",126883,126315,568,610,92353,86.69999695,1178,146347,19464,0.928414365990716,1.27554058882765,21.0756553658246
"105","Selangor","P.105 Petaling Jaya",116597,116247,350,968,57137,82.69999695,1318,140987,24390,1.13038928960436,2.30673644048515,42.686875404729
"106","Selangor","P.106 Damansara",137639,137147,492,867,106903,83.80000305,1359,164247,26608,0.987365499604037,1.27124589581209,24.8898534185196
"107","Selangor","P.107 Sungai Buloh",78874,78637,237,686,26634,87,923,90659,11785,1.17022085858458,3.46549523165878,44.2479537433356
"108","Selangor","P.108 Shah Alam",94241,93907,334,664,33849,87.80000305,998,107335,13094,1.05898706507783,2.94838843097285,38.6835652456498
"109","Selangor","P.109 Kapar",107829,107590,239,1497,16306,86.30000305,1736,124946,17117,1.60995650520732,10.6463878326996,104.973629338894
"110","Selangor","P.110 Klang",128536,128278,258,1204,78773,86.09999847,1462,149286,20750,1.13742453476069,1.85596587663286,26.3415129549465
"111","Selangor","P.111 Kota Raja",129412,129092,320,966,71142,86.80000305,1286,149092,19680,0.993725465953698,1.80765230103174,27.6629838913722
